genome_cnt	gene_cnt
1	48906
2	9230
3	5342
4	3628
5	3278
6	2801
7	2905
8	2303
9	2079
10	2115
11	2436
12	1960
13	2525
14	1308
15	1529
16	1206
17	1291
18	1225
19	973
20	1097
21	1350
22	1362
23	1240
24	1428
25	1529
26	867
27	627
28	1027
29	1099
30	1008
31	1221
32	696
33	1035
34	1404
35	637
36	1018
37	1133
38	1256
39	890
40	1453
41	1554
42	1606
43	1061
44	957
45	1479
46	1052
47	1127
48	1453
49	1699
50	2372
51	885
52	1382
53	1829
54	2017
55	1705
56	3071
57	2635
58	3208
59	3565
60	5503
61	5439
62	5053
63	7658
64	14707
